"lambda","mu","p","n","snr","MSE"
1,1,27,200,5,0.218884479040806
1,200,1847,200,1,0.923521929833012
1,500,90,200,3.66666666666667,0.726494056501201
1,500,561,200,1,1.12572057872372
1,100,114,200,5,1.62777844615219
1,500,114,200,1,1.6281966123806
1,500,21,200,5,0.183582176072347
1,1,479,200,1,1.26690363770976
1,500,51,200,2.33333333333333,0.294601594600035
1,200,442,200,1,1.36231096802394
1,200,1706,200,1,1.05785701048812
1,100,1706,200,2.33333333333333,2.32908612103249
1,1,34,200,2.33333333333333,0.157752070505551
1,500,25,200,2.33333333333333,0.152500375863177
1,1,1147,200,2.33333333333333,1.89567039252252
1,200,979,200,1,1.00793122252607
1,1,71,200,5,0.348542708205746
1,200,234,200,1,7.70300298511501
1,100,105,200,5,1.15984381217782
1,1,348,200,1,1.33607972645227
1,500,216,200,5,8.51563640521111
1,1,979,200,1,1.01805147257243
1,200,348,200,2.33333333333333,1.77118958564714
1,100,2000,200,5,5.60617088303531
1,100,124,200,3.66666666666667,1.51608322435224
1,1,835,200,3.66666666666667,3.06862193308723
1,1,771,200,2.33333333333333,1.90095197751824
1,500,904,200,5,4.394647926255
1,500,1706,200,5,4.875399890797
1,1,442,200,5,3.51444532840686
1,200,157,200,2.33333333333333,4.41155296123221
1,1,442,200,1,1.37596061623772
1,100,56,200,1,0.447298544774414
1,500,97,200,2.33333333333333,0.941233449409406
1,1,1706,200,5,4.88792017887899
1,100,979,200,5,4.32692076845786
1,100,518,200,1,1.01716699996469
1,200,51,200,5,0.294608464265665
1,100,170,200,5,5.97534580580367
1,500,1242,200,1,1.03607615635224
1,1,29,200,3.66666666666667,0.12436956468227
1,1,145,200,5,3.29742968424383
1,500,835,200,1,1.07583330401064
1,100,23,200,5,0.162341723262919
1,100,297,200,1,2.33901279124676
1,200,1455,200,3.66666666666667,3.59058047495849
1,500,60,200,3.66666666666667,0.380883483374389
1,500,518,200,1,1.0166878149232
1,100,184,200,3.66666666666667,10.6772506496913
1,200,199,200,5,77.8467226518464
1,1,254,200,2.33333333333333,3.83598081475503
1,1,234,200,5,8.59111248933256
1,100,348,200,2.33333333333333,1.77098940476975
1,100,56,200,3.66666666666667,0.447298544774395
1,500,322,200,3.66666666666667,2.71903649004696
1,500,234,200,2.33333333333333,8.00919433901685
1,100,275,200,3.66666666666667,2.87827117195641
1,500,1847,200,1,0.923505007525634
1,500,199,200,2.33333333333333,20.316080136213
1,1,979,200,2.33333333333333,2.12501390983474
1,200,25,200,5,0.152530027071781
1,1,83,200,3.66666666666667,0.764517627243837
1,200,1059,200,2.33333333333333,2.16576764700406
1,1,134,200,3.66666666666667,1.87492140553059
1,200,377,200,2.33333333333333,2.03960542349496
1,1,904,200,3.66666666666667,3.31023140599881
1,500,1455,200,5,4.80829593511991
1,1,34,200,1,0.157752070505551
1,1,47,200,2.33333333333333,0.262034395404319
1,1,1242,200,5,4.26228466337431
1,1,608,200,2.33333333333333,1.81940856657421
1,100,771,200,2.33333333333333,1.90846287238179
1,500,1344,200,2.33333333333333,2.38723265242252
1,1,561,200,3.66666666666667,2.7900652119044
1,100,27,200,2.33333333333333,0.200028357427688
1,100,518,200,3.66666666666667,2.26259610265779
1,1,771,200,5,3.72980141029866
1,1,34,200,5,0.157752070505551
1,500,56,200,5,0.447477524121486
1,100,77,200,3.66666666666667,0.506104386258679
1,200,44,200,1,0.199913582159186
1,100,71,200,2.33333333333333,0.35728420270391
1,1,199,200,1,84.7410137706741
1,100,835,200,1,1.07563234755935
1,100,712,200,1,1.06219206601276
1,200,90,200,1,0.726243935918164
1,200,479,200,1,1.25501458900888
1,100,979,200,2.33333333333333,2.10563191080638
1,500,348,200,2.33333333333333,1.77131232146712
1,1,835,200,5,4.05576908432546
1,1,51,200,5,0.294301458071148
1,1,904,200,1,1.11980937814188
1,100,47,200,3.66666666666667,0.277959337170753
1,100,518,200,5,2.90679550165986
1,100,65,200,3.66666666666667,0.489962665240742
1,200,77,200,3.66666666666667,0.505832441024629
1,1,105,200,5,1.35963997985926
1,100,1576,200,5,4.46424454741635
1,500,40,200,3.66666666666667,0.244395911770826
1,1,170,200,2.33333333333333,6.05350943638565
1,500,608,200,3.66666666666667,2.6179811121744
1,200,29,200,5,0.134967484369873
1,200,44,200,5,0.199913582159227
1,200,712,200,5,3.91493798554577
1,500,658,200,5,3.7858092377467
1,1,712,200,3.66666666666667,2.9791434472321
1,100,1847,200,2.33333333333333,2.13349316965123
1,500,170,200,2.33333333333333,5.97216427869953
1,1,234,200,1,7.768227929614
1,500,77,200,1,0.50566823884078
1,1,348,200,2.33333333333333,1.79328571517142
1,500,184,200,1,10.6688627128155
1,200,21,200,5,0.183564897938273
1,1,23,200,5,0.16139044834082
1,100,23,200,2.33333333333333,0.162341723262896
1,100,712,200,3.66666666666667,2.9704801658625
1,200,479,200,3.66666666666667,2.63536381170183
1,200,47,200,1,0.278124957981632
1,500,37,200,3.66666666666667,0.151412932610168
1,200,1847,200,2.33333333333333,2.13337935410328
1,200,234,200,3.66666666666667,8.28361357470921
1,200,200,200,3.66666666666667,30.8403430873459
1,500,51,200,1,0.294601594600043
1,200,2000,200,5,5.60590238252467
1,100,1344,200,5,4.80993775053794
1,500,170,200,5,5.97216427913325
1,500,56,200,1,0.447477524117866
1,500,1455,200,2.33333333333333,2.3676318065087
1,200,114,200,3.66666666666667,1.62803812153395
1,1,608,200,3.66666666666667,2.6303659286516
1,1,254,200,1,3.58364465663159
1,500,254,200,1,3.60481496119757
1,200,77,200,2.33333333333333,0.50583244102462
1,200,199,200,1,77.5964279365604
1,100,608,200,3.66666666666667,2.61796991590051
1,500,124,200,3.66666666666667,1.5149922410077
1,100,47,200,5,0.277959337170751
1,500,23,200,1,0.162501799246758
1,1,200,200,3.66666666666667,1637.7007194578
1,100,32,200,3.66666666666667,0.118305370045921
1,500,1847,200,3.66666666666667,3.37176834124228
1,100,658,200,2.33333333333333,1.97024155966167
1,200,37,200,5,0.151361787991473
1,200,1059,200,3.66666666666667,3.28675764374562
1,200,275,200,5,3.22079688936066
1,100,1847,200,5,4.62418858807836
1,1,124,200,5,1.58354961094071
1,200,51,200,1,0.294608464265575
1,500,37,200,1,0.151412932610269
1,200,835,200,5,4.006469636635
1,200,608,200,3.66666666666667,2.61797633778537
1,1,21,200,5,0.184306977315571
1,100,712,200,5,3.91558736486486
1,100,322,200,1,1.92228953468191
1,1,56,200,5,0.422356159270545
1,500,771,200,3.66666666666667,2.81562239436496
1,500,1147,200,1,0.847216469953471
1,200,170,200,1,5.97336344600685
1,1,200,200,2.33333333333333,1637.70071945957
1,500,377,200,3.66666666666667,2.50117574704894
1,500,105,200,5,1.15719052519672
1,500,408,200,1,1.2234773852899
1,200,199,200,3.66666666666667,77.7750890967465
1,500,170,200,1,5.9721642783766
1,100,44,200,3.66666666666667,0.199921819973968
1,200,254,200,5,4.40232847148231
1,100,275,200,5,3.22074521056978
1,1,51,200,3.66666666666667,0.294301458071149
1,1,60,200,3.66666666666667,0.444109397079315
1,1,2000,200,2.33333333333333,2.71236929997768
1,100,105,200,2.33333333333333,1.15984381217768
1,500,83,200,5,0.818373829702901
1,1,21,200,2.33333333333333,0.184306977315571
1,200,275,200,2.33333333333333,2.53156067914971
1,200,348,200,5,2.70058998684898
1,200,60,200,5,0.381012908872351
1,500,904,200,3.66666666666667,3.30184691845211
1,100,234,200,2.33333333333333,8.01052943514524
1,100,40,200,2.33333333333333,0.244423531024091
1,1,518,200,5,2.98772514011563
1,200,442,200,2.33333333333333,2.09009342869303
1,1,1576,200,5,4.46806349236531
1,200,979,200,3.66666666666667,3.21325421316844
1,200,377,200,1,1.59369380567409
1,100,442,200,2.33333333333333,2.0901900443828
1,1,51,200,1,0.294301458071149
1,1,2000,200,1,1.24440069559735
1,100,658,200,3.66666666666667,2.87782315501496
1,200,124,200,1,1.51540090993171
1,200,518,200,5,2.90633176479666
1,200,216,200,2.33333333333333,8.29239591916384
1,100,1455,200,2.33333333333333,2.36794384499105
1,100,1242,200,3.66666666666667,3.23776622902962
1,100,90,200,1,0.725828117377904
1,1,65,200,5,0.524852827389015
1,1,200,200,1,1637.70071946199
1,1,56,200,3.66666666666667,0.422356159270546
1,500,32,200,2.33333333333333,0.118329215166419
1,500,40,200,5,0.244395911770967
1,100,145,200,3.66666666666667,3.36768159788602
1,200,518,200,2.33333333333333,1.62842454987916
1,500,1147,200,2.33333333333333,1.87021237512906
1,100,21,200,5,0.183537152069829
1,200,124,200,5,1.51540090992989
1,100,34,200,3.66666666666667,0.183355107786639
1,1,20,200,2.33333333333333,0.136822172990837
1,100,1455,200,3.66666666666667,3.59086344918366
1,200,297,200,3.66666666666667,3.15474853498999
1,200,60,200,2.33333333333333,0.381012908872178
1,200,105,200,1,1.15818015900912
1,200,71,200,3.66666666666667,0.357300624564306
1,200,56,200,5,0.447411484265382
1,500,234,200,1,7.70263472269532
1,500,157,200,2.33333333333333,4.41102561323934
1,1,1059,200,1,1.07356436561048
1,1,904,200,5,4.40731595784569
1,200,47,200,5,0.278124957982142
1,1,1706,200,1,1.0629923081328
1,100,254,200,3.66666666666667,4.13618453098695
1,1,97,200,1,0.937716124378916
1,500,2000,200,5,5.60574190555952
1,100,20,200,2.33333333333333,0.148169968046757
1,1,65,200,3.66666666666667,0.524852827389015
1,200,322,200,2.33333333333333,2.31941906546433
1,200,97,200,5,0.941680755445563
1,200,145,200,2.33333333333333,3.36811544758942
1,100,34,200,5,0.183355107786627
1,200,90,200,2.33333333333333,0.726243935917887
1,1,40,200,5,0.232638298218686
1,200,1344,200,3.66666666666667,3.60104265308739
1,100,904,200,5,4.39519364465908
1,500,1706,200,2.33333333333333,2.32895248981318
1,100,200,200,3.66666666666667,76.4926991128396
1,500,1847,200,5,4.62373619848394
1,200,34,200,1,0.184085381460199
1,200,1147,200,5,3.96433621489833
1,200,1847,200,3.66666666666667,3.37188688444062
1,100,254,200,5,4.40200339198405
1,500,27,200,5,0.202106504673417
1,1,1847,200,1,0.936905643717024
1,500,40,200,2.33333333333333,0.244395911770666
1,100,1344,200,1,1.16260406343165
1,200,199,200,2.33333333333333,77.6948657612001
1,500,608,200,5,3.42599044678782
1,500,32,200,3.66666666666667,0.118329215166381
1,200,65,200,2.33333333333333,0.489895493404821
1,1,124,200,2.33333333333333,1.58354961094071
1,1,658,200,5,3.84516038123526
1,500,712,200,1,1.06189825424958
1,500,297,200,1,2.34097814263775
1,1,1147,200,1,0.859341466604517
1,100,904,200,2.33333333333333,2.21016931103276
1,500,234,200,5,8.54137734985547
1,200,90,200,5,0.726243935917518
1,500,51,200,5,0.294601594600024
1,200,297,200,5,3.55144536510686
1,1,608,200,1,1.01873517232837
1,500,83,200,2.33333333333333,0.81837382969884
1,1,348,200,3.66666666666667,2.25836372227912
1,1,51,200,2.33333333333333,0.294301458071149
1,100,216,200,1,8.18400770832361
1,200,105,200,2.33333333333333,1.15818015900884
1,200,408,200,5,2.70248698356764
1,200,27,200,5,0.201315895515757
1,1,71,200,3.66666666666667,0.348542708205746
1,500,322,200,5,3.11984162874533
1,1,60,200,1,0.444109397079316
1,1,608,200,5,3.44617311250125
1,1,234,200,2.33333333333333,8.07078427818037
1,500,145,200,2.33333333333333,3.36837369850372
1,100,65,200,2.33333333333333,0.489962665240761
1,200,561,200,1,1.12571789156634
1,1,157,200,1,4.54339867079057
1,200,25,200,3.66666666666667,0.152530027071761
1,100,37,200,2.33333333333333,0.15127797441965
1,500,771,200,1,0.999899044546286
1,200,254,200,2.33333333333333,3.87058721012456
1,100,408,200,1,1.22345560056921
1,200,904,200,2.33333333333333,2.20998492935875
1,1,44,200,5,0.203138276571673
1,500,20,200,3.66666666666667,0.148170265032701
1,500,90,200,2.33333333333333,0.726494056499248
1,100,608,200,5,3.42600100780632
1,100,157,200,5,4.41243654120926
1,1,47,200,5,0.262034395404319
1,500,60,200,2.33333333333333,0.380883483374596
1,1,47,200,1,0.262034395404319
1,100,114,200,2.33333333333333,1.62777844615215
1,200,32,200,1,0.118320292339492
1,1,56,200,2.33333333333333,0.422356159270545
1,500,77,200,5,0.50566823884008
1,1,1344,200,3.66666666666667,3.56809553874734
1,200,771,200,2.33333333333333,1.90821757885436
1,200,65,200,5,0.489895493405002
1,500,518,200,5,2.90605876926414
1,200,90,200,3.66666666666667,0.726243935917691
1,1,25,200,5,0.158506913204657
1,500,200,200,5,25.5129201105445
1,1,37,200,1,0.15172154100239
1,200,20,200,1,0.148174167780922
1,100,348,200,3.66666666666667,2.23326312978185
1,200,1455,200,5,4.80852459261675
1,200,561,200,3.66666666666667,2.76030978776339
1,1,71,200,1,0.348542708205747
1,100,71,200,1,0.357284202703826
1,1,20,200,1,0.136822172990838
1,500,65,200,2.33333333333333,0.489858982682452
1,1,184,200,5,12.1624288781535
1,200,51,200,3.66666666666667,0.294608464265642
1,200,979,200,5,4.32619976998337
1,1,322,200,5,3.08950834107532
1,100,25,200,3.66666666666667,0.152583780934646
1,500,27,200,3.66666666666667,0.202106504673737
1,1,32,200,2.33333333333333,0.117960261403344
1,1,322,200,2.33333333333333,2.31654767208292
1,200,1344,200,2.33333333333333,2.38739858409937
1,500,77,200,3.66666666666667,0.505668238840258
1,500,71,200,2.33333333333333,0.357309702068227
1,500,71,200,3.66666666666667,0.357309702070309
1,500,377,200,2.33333333333333,2.03991641100896
1,1,56,200,1,0.422356159270546
1,500,297,200,3.66666666666667,3.15598538112783
1,100,608,200,1,1.01912571703928
1,200,1576,200,1,0.943409526781922
1,100,77,200,2.33333333333333,0.506104386258679
1,200,979,200,2.33333333333333,2.10530033322321
1,100,348,200,5,2.70014723918493
1,200,1242,200,5,4.33753094134778
1,100,21,200,1,0.183537152069831
1,200,134,200,1,1.86318861163942
1,100,1147,200,3.66666666666667,2.91340275557007
1,1,1242,200,3.66666666666667,3.16715307618556
1,100,234,200,1,7.7036171340879
1,100,608,200,2.33333333333333,1.81411745601047
1,100,71,200,5,0.357284202704021
1,100,297,200,2.33333333333333,2.75123274399409
1,200,97,200,2.33333333333333,0.941680755446234
1,200,712,200,2.33333333333333,2.02063609168004
1,500,199,200,3.66666666666667,20.3663224462461
1,200,29,200,3.66666666666667,0.134967484369864
1,1,90,200,3.66666666666667,0.713745067963536
1,100,1059,200,1,1.04784500884242
1,100,234,200,3.66666666666667,8.28462047208234
1,500,65,200,1,0.489858982682331
1,100,97,200,5,0.942420044663463
1,100,184,200,1,10.6772506496971
1,100,65,200,5,0.489962665240726
1,1,1847,200,3.66666666666667,3.39846332801209
1,1,60,200,5,0.444109397079315
1,1,561,200,1,1.12928118371408
1,500,1576,200,5,4.46379247276614
1,1,979,200,5,4.36324142372757
1,100,114,200,3.66666666666667,1.62777844615218
1,200,658,200,1,1.06456807964864
1,200,29,200,2.33333333333333,0.134967484369857
1,500,904,200,1,1.11965895839877
1,100,199,200,2.33333333333333,82.3915468109648
1,500,29,200,1,0.134952871306507
1,100,297,200,5,3.54904269040044
1,200,1706,200,2.33333333333333,2.32900252374835
1,500,200,200,2.33333333333333,25.206321484571
1,500,904,200,2.33333333333333,2.20987446764214
1,1,442,200,2.33333333333333,2.10876086576255
1,500,216,200,3.66666666666667,8.40342147946777
1,500,65,200,5,0.489858982682619
1,200,34,200,2.33333333333333,0.184085381460291
1,1,658,200,3.66666666666667,2.92144271092377
1,200,1147,200,3.66666666666667,2.91283609963932
1,1,658,200,2.33333333333333,1.99876781293056
1,200,442,200,3.66666666666667,2.79495224548806
1,100,322,200,5,3.11976559035466
1,100,65,200,1,0.489962665240787
1,1,25,200,1,0.158506913204656
1,1,37,200,5,0.151721541002391
1,500,145,200,1,3.36837369846814
1,200,40,200,3.66666666666667,0.244409259647996
1,500,442,200,2.33333333333333,2.09003590590972
1,200,322,200,3.66666666666667,2.71904990101557
1,100,979,200,3.66666666666667,3.21378029737249
1,200,254,200,3.66666666666667,4.13645764738935
1,100,51,200,1,0.294619661580634
1,1,184,200,1,12.1624288781534
1,1,27,200,1,0.218884479040806
1,1,170,200,1,6.05350943638563
1,500,348,200,1,1.31860712713052
1,100,60,200,1,0.38124341017755
1,100,348,200,1,1.3184919245342
1,100,377,200,2.33333333333333,2.0390894374354
1,100,1706,200,3.66666666666667,3.60202365321657
1,500,29,200,2.33333333333333,0.134952871306699
1,1,275,200,2.33333333333333,2.51518216874596
1,500,979,200,3.66666666666667,3.21293851609709
1,200,134,200,3.66666666666667,1.86318861164077
1,200,20,200,2.33333333333333,0.148174167780927
1,200,1706,200,5,4.87554071987511
1,1,1576,200,1,0.946378617684602
1,200,25,200,1,0.152530027071706
1,200,56,200,1,0.447411484265285
1,200,23,200,2.33333333333333,0.162440792225655
1,1,1706,200,2.33333333333333,2.33787990991888
1,200,1455,200,1,1.13456251853715
1,200,1344,200,5,4.80937015783077
1,100,1147,200,2.33333333333333,1.87079695591575
1,500,134,200,5,1.86311899568793
1,200,32,200,3.66666666666667,0.118320292339479
1,500,27,200,2.33333333333333,0.202106504674109
1,500,29,200,5,0.134952871306948
1,500,134,200,3.66666666666667,1.86311899571534
1,500,124,200,1,1.51499224099896
1,100,712,200,2.33333333333333,2.02098666094859
1,1,297,200,2.33333333333333,2.56117975827132
1,200,60,200,3.66666666666667,0.381012908872272
1,500,979,200,1,1.00784862715045
1,100,561,200,3.66666666666667,2.76038764328932
1,200,40,200,2.33333333333333,0.244409259648035
1,100,105,200,3.66666666666667,1.15984381217776
1,100,51,200,5,0.294619661580645
1,100,1242,200,2.33333333333333,2.13712005642791
1,100,134,200,3.66666666666667,1.86330494723146
1,1,44,200,3.66666666666667,0.203138276571673
1,500,254,200,2.33333333333333,3.87071845718808
1,500,51,200,3.66666666666667,0.294601594600027
1,500,71,200,1,0.3573097020654
1,1,322,200,1,1.93032720427037
1,500,1059,200,5,4.40834058958209
1,200,83,200,1,0.817992764592754
1,1,145,200,1,3.29742968424383
1,500,275,200,3.66666666666667,2.87837646680009
1,100,56,200,2.33333333333333,0.447298544774404
1,500,408,200,2.33333333333333,1.70230149045831
1,200,105,200,3.66666666666667,1.15818015900863
1,100,145,200,2.33333333333333,3.36768159788604
1,100,408,200,2.33333333333333,1.70208007592179
1,200,34,200,3.66666666666667,0.184085381460363
1,500,348,200,3.66666666666667,2.2337833421064
1,1,1242,200,2.33333333333333,2.07393477111584
1,1,124,200,3.66666666666667,1.58354961094071
1,200,145,200,5,3.36811544758523
1,1,216,200,1,8.27205381699372
1,500,442,200,3.66666666666667,2.79492749032164
1,1,408,200,2.33333333333333,1.7271120619266
1,1,518,200,3.66666666666667,2.32230421252568
1,500,234,200,3.66666666666667,8.28300734094645
1,500,97,200,5,0.941233449397922
1,500,20,200,2.33333333333333,0.14817026503322
1,1,32,200,5,0.117960261403344
1,200,408,200,2.33333333333333,1.70221696362109
1,200,658,200,3.66666666666667,2.8775770200357
1,1,145,200,3.66666666666667,3.29742968424383
1,1,2000,200,5,5.62927538723286
1,500,979,200,5,4.32576696281027
1,500,216,200,1,8.18364932726448
1,100,157,200,3.66666666666667,4.41243654120775
1,100,1455,200,1,1.13466086436145
1,100,32,200,5,0.118305370045922
1,500,518,200,3.66666666666667,2.2618870909629
1,1,20,200,5,0.136822172990837
1,200,21,200,2.33333333333333,0.183564897938255
1,500,1059,200,3.66666666666667,3.28622136729534
1,1,105,200,2.33333333333333,1.35963997985926
1,100,1242,200,5,4.33837281765575
1,1,979,200,3.66666666666667,3.24180914065172
1,1,37,200,2.33333333333333,0.15172154100239
1,500,1344,200,1,1.16240518722881
1,100,21,200,3.66666666666667,0.18353715206983
1,1,1059,200,5,4.48089125136693
1,500,157,200,3.66666666666667,4.41102561324464
1,200,216,200,3.66666666666667,8.40343712402544
1,200,835,200,3.66666666666667,3.03132127456913
1,100,479,200,3.66666666666667,2.63476136467281
1,100,199,200,5,82.3915468105794
1,1,479,200,5,3.35306896015897
1,200,83,200,3.66666666666667,0.817992764593611
1,1,77,200,3.66666666666667,0.512588833622325
1,200,216,200,5,8.51562296990322
1,1,904,200,2.33333333333333,2.21405623182314
1,500,184,200,3.66666666666667,10.6688627146957
1,500,1706,200,1,1.05784672780743
